City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grand-Santi,GF,4.25,-54.3833,85.46,61,100,3.09,overcast clouds
1,Teguise,ES,29.0605,-13.564,75.2,53,20,11.5,few clouds
2,Ushuaia,AR,-54.8,-68.3,48.2,46,0,5.75,clear sky
3,Estevan,CA,49.1334,-102.9842,35.6,93,90,18.41,overcast clouds
4,Sao Filipe,CV,14.8961,-24.4956,77.52,60,1,6.87,clear sky
5,Mahebourg,MU,-20.4081,57.7,80.6,78,40,6.91,light rain
6,Butaritari,KI,3.0707,172.7902,81.0,77,57,9.19,light rain
7,Bagalkot,IN,16.1833,75.7,92.25,23,20,9.78,light rain
8,New Norfolk,AU,-42.7826,147.0587,46.0,73,69,1.01,broken clouds
9,Severo-Kurilsk,RU,50.6789,156.125,27.99,76,55,11.16,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,50.0,66,75,13.8,broken clouds
11,Banyuwangi,ID,-8.2325,114.3576,76.15,92,13,2.26,few clouds
12,Broome,US,42.2506,-75.833,59.0,94,90,9.22,overcast clouds
13,Saint Anthony,US,45.0205,-93.218,46.4,76,90,11.5,overcast clouds
14,Busselton,AU,-33.65,115.3333,62.01,96,100,3.0,light rain
15,Mataura,NZ,-46.1927,168.8643,46.99,96,92,3.0,overcast clouds
16,Saskylakh,RU,71.9167,114.0833,20.01,92,100,9.37,overcast clouds
17,Bluff,NZ,-46.6,168.3333,46.99,96,57,3.0,broken clouds
18,Nome,US,64.5011,-165.4064,19.4,93,90,24.16,mist
19,Vaini,TO,-21.2,-175.2,66.2,100,20,3.44,few clouds
20,Torbay,CA,47.6666,-52.7314,34.0,100,90,6.91,moderate rain
21,Pevek,RU,69.7008,170.3133,-25.8,100,80,0.83,broken clouds
22,Bonham,US,33.5773,-96.1783,64.99,48,1,12.66,clear sky
23,Labrea,BR,-7.2586,-64.7981,86.05,68,89,2.73,overcast clouds
24,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,6.91,broken clouds
25,Thompson,CA,55.7435,-97.8558,21.2,79,90,12.66,overcast clouds
26,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,0,8.05,clear sky
27,Atuona,PF,-9.8,-139.0333,79.81,79,43,17.34,light rain
28,Rikitea,PF,-23.1203,-134.9692,78.1,75,9,10.31,clear sky
29,Napanee,CA,44.2501,-76.9494,64.0,63,90,9.22,overcast clouds
30,Rehnan,IR,32.6846,51.6013,66.2,30,75,11.5,broken clouds
31,Hithadhoo,MV,-0.6,73.0833,83.84,68,50,11.97,scattered clouds
32,Kaitangata,NZ,-46.2817,169.8464,53.26,97,73,3.87,broken clouds
33,Gat,IL,31.61,34.7642,64.99,55,17,1.01,few clouds
34,Kaliua,TZ,-5.0606,31.7936,71.85,88,82,2.42,light rain
35,Verkhoyansk,RU,67.5447,133.385,-17.99,100,22,2.01,few clouds
36,Hovd,MN,48.0056,91.6419,32.29,29,7,0.67,clear sky
37,Chuy,UY,-33.6971,-53.4616,65.39,91,92,21.05,overcast clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,20,8.05,few clouds
39,Bethel,US,41.3712,-73.414,60.8,82,90,3.44,overcast clouds
40,Gazanjyk,TM,39.2446,55.5154,80.51,16,51,22.1,broken clouds
41,Hilo,US,19.7297,-155.09,64.4,68,1,8.05,clear sky
42,Solnechnyy,RU,50.7214,136.6319,33.39,78,100,3.36,overcast clouds
43,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,90,4.61,light rain
44,Staunton,US,38.1496,-79.0717,68.0,63,75,6.91,broken clouds
45,Bandar-E Lengeh,IR,26.5579,54.8807,87.8,42,2,4.61,clear sky
46,Lanzhou,CN,36.0564,103.7922,54.0,88,25,6.38,scattered clouds
47,Qaanaaq,GL,77.484,-69.3632,20.21,92,100,10.92,light snow
48,Samarai,PG,-10.6167,150.6667,79.88,68,75,10.76,broken clouds
49,Lompoc,US,34.6391,-120.4579,48.2,93,100,5.75,overcast clouds
50,Itarema,BR,-2.9248,-39.9167,86.11,62,71,13.02,moderate rain
51,Troitsko-Pechorsk,RU,62.7084,56.1964,37.72,82,70,9.53,broken clouds
52,Road Town,VG,18.4167,-64.6167,82.4,57,40,6.91,scattered clouds
53,Hofn,IS,64.2539,-15.2082,33.8,86,90,8.05,light rain and snow
54,Klaksvik,FO,62.2266,-6.589,33.8,93,20,8.05,few clouds
55,Usinsk,RU,65.9939,57.5281,35.49,75,69,19.6,broken clouds
56,Esperance,AU,-33.8667,121.9,57.2,94,90,23.02,light rain
57,Van,TR,38.4924,43.3831,53.6,16,20,27.63,few clouds
58,Zabid,YE,14.1951,43.3152,87.8,46,1,8.03,clear sky
59,Gujar Khan,PK,33.2558,73.3026,77.0,43,100,1.99,overcast clouds
60,Mahanoro,MG,-19.9,48.8,76.93,85,97,5.32,light rain
61,Bonthe,SL,7.5264,-12.505,87.69,65,55,12.35,light rain
62,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,90,16.11,overcast clouds
63,Bilma,NE,18.6853,12.9164,101.79,4,23,10.42,few clouds
64,Magadan,RU,59.5667,150.8,9.09,74,100,13.51,overcast clouds
65,Barrow,US,71.2906,-156.7887,-23.8,76,1,5.75,clear sky
66,Yining,CN,29.0361,114.5636,57.45,99,100,1.23,moderate rain
67,Dali,CN,25.7,100.1833,58.06,63,0,5.95,clear sky
68,Cayenne,GF,4.9333,-52.3333,87.8,66,20,8.05,few clouds
69,Castro,BR,-24.7911,-50.0119,78.08,40,1,8.43,clear sky
70,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,65,90,26.46,overcast clouds
71,Cherskiy,RU,68.75,161.3,-27.63,99,46,3.67,scattered clouds
72,Cape Town,ZA,-33.9258,18.4232,72.0,64,0,20.71,clear sky
73,Shenjiamen,CN,29.9576,122.298,60.26,95,100,17.87,light rain
74,Zhigansk,RU,66.7697,123.3711,4.48,92,6,12.28,clear sky
75,Geraldton,AU,-28.7667,114.6,75.2,94,90,23.02,light rain
76,Kirakira,SB,-10.4544,161.9205,78.84,82,89,0.27,light rain
77,Asau,RO,46.4333,26.4,57.99,19,1,6.64,clear sky
78,Rawson,AR,-43.3002,-65.1023,67.14,43,20,18.86,few clouds
79,Thunder Bay,CA,48.4001,-89.3168,46.0,93,90,3.44,light rain
